Messstellennummer,Bezirk,Auspraegung,Grundwasserleiter,Datum,Parameterwert,Einheit,Ganglinie,Klassifikation,stammdaten_link
6016,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.11.2025,13.40,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6016&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6016
6017,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),05.11.2025,12.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6017&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6017
6020,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),05.11.2025,14.60,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6020&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6020
6023,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),04.11.2025,12.80,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6023&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6023
6026,Mitte,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),04.11.2025,11.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6026&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6026
6028,Reinickendorf,GW-Güte 1,Elsterzeitl. GW-Leiter (GWL 3),05.11.2025,13.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6028&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6028
6038,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),04.11.2025,13.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6038&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6038
6047,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),15.12.2025,12.40,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6047&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6047
6056,Reinickendorf,GW-Stand + GW-Güte 5,Hauptgrundwasserleiter (GWL 1.3 + 2),06.11.2025,13.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6056&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6056
6058,Reinickendorf,GW-Güte 1,Tertiäre GW-Leiter (GWL 4),06.11.2025,14.50,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6058&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6058
6063,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),22.04.2025,11.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6063&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6063
6066,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Tertiäre GW-Leiter (GWL 4),19.11.2018,15.90,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6066&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6066
6067,Reinickendorf,"GW-Stand, tagesaktuell + GW-Güte 3",Hauptgrundwasserleiter (GWL 1.3 + 2),06.11.2025,11.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6067&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6067
6069,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),06.11.2025,12.00,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6069&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6069
6080,Reinickendorf,GW-Stand + GW-Güte 5,Tertiäre GW-Leiter (GWL 4),06.11.2025,11.10,°C,https://wasserportal.berlin.de/station.php?anzeige=g&thema=gwq&station=6080&nstoffid=10,keine,https://wasserportal.berlin.de/station.php?anzeige=i&thema=gwq&station=6080
